id,question
97cc8c3a,How wide does a lot have to be to build a house?
97cc8c3a,Can I develop a lot platted before the current code?
db4c787c,What's the vertical limit limit for buildings in SF-3?
db4c787c,How is building number of stories measured in the SF-3 district?
db4c787c,Can my chimney go above the number of stories limit in SF-3?
db4c787c,What is the tallest structure allowed in SF-3?
db4c787c,Is there a way to build taller than the how tall limit in SF-3?
270584bc,What's the maximum FAR in the SF-3 district?
270584bc,Does a deck count toward lot coverage in SF-3?
270584bc,How much lot coverage is allowed on a SF-3 lot?
270584bc,What is the FAR limit in SF-3?
270584bc,Do covered porches count against impervious cover?
fbd1c497,What is the setback in the SF-3 zone?
fbd1c497,How close to the street can I build in SF-3?
fbd1c497,What are the required yards for a house zoned SF-3?
fbd1c497,Can my roof eaves stick into the required yard?
fbd1c497,What's the yard requirement on a corner lot in SF-3?
5e802cfd,What's the minimum lot size in the MF-1 district?
5e802cfd,My lot is smaller than the minimum in MF-1 — can I still build?
5e802cfd,What are the rules for small substandard lots?
5e802cfd,How wide does a lot have to be to build a house?
5e802cfd,Can I develop a lot platted before the current code?
d1e473b1,What's the how tall limit for buildings in MF-1?
d1e473b1,How is building height measured in the MF-1 district?
d1e473b1,Can my chimney go above the vertical limit limit in MF-1?
d1e473b1,What is the tallest structure allowed in MF-1?
d1e473b1,Is there a way to build taller than the vertical limit limit in MF-1?
ffdceede,What's the maximum how much of my lot I can build on in the MF-1 district?
ffdceede,Does a deck count toward lot coverage in MF-1?
ffdceede,How much FAR is allowed on a MF-1 lot?
ffdceede,What is the FAR limit in MF-1?
ffdceede,Do covered porches count against impervious cover?
88749d02,What is the how far from the lot line in the MF-1 zone?
88749d02,How close to the street can I build in MF-1?
88749d02,What are the required yards for a house zoned MF-1?
88749d02,Can my roof eaves stick into the required yard?
88749d02,What's the setback on a corner lot in MF-1?
e88448cb,What's the minimum lot size in the MF-2 district?
e88448cb,My lot is smaller than the minimum in MF-2 — can I still build?
e88448cb,What are the rules for small substandard lots?
e88448cb,How wide does a lot have to be to build a house?
e88448cb,Can I develop a lot platted before the current code?
fffdc549,What's the how tall limit for buildings in MF-2?
fffdc549,How is building how tall measured in the MF-2 district?
fffdc549,Can my chimney go above the vertical limit limit in MF-2?
fffdc549,What is the tallest structure allowed in MF-2?
fffdc549,Is there a way to build taller than the vertical limit limit in MF-2?
7a8bad3a,What's the maximum impervious cover in the MF-2 district?
7a8bad3a,Does a deck count toward impervious cover in MF-2?
7a8bad3a,How much impervious cover is allowed on a MF-2 lot?
7a8bad3a,What is the FAR limit in MF-2?
7a8bad3a,Do covered porches count against how much of my lot I can build on?
b59ee7a6,What is the setback in the MF-2 zone?
b59ee7a6,How close to the street can I build in MF-2?
b59ee7a6,What are the required yards for a house zoned MF-2?
b59ee7a6,Can my roof eaves stick into the required yard?
b59ee7a6,What's the how far from the lot line on a corner lot in MF-2?
30764b93,What's the minimum lot size in the MF-3 district?
30764b93,My lot is smaller than the minimum in MF-3 — can I still build?
30764b93,What are the rules for small substandard lots?
30764b93,How wide does a lot have to be to build a house?
30764b93,Can I develop a lot platted before the current code?
881c0e10,What's the number of stories limit for buildings in MF-3?
881c0e10,How is building height measured in the MF-3 district?
881c0e10,Can my chimney go above the how tall limit in MF-3?
881c0e10,What is the tallest structure allowed in MF-3?
881c0e10,Is there a way to build taller than the how tall limit in MF-3?
b9144689,What's the maximum FAR in the MF-3 district?
b9144689,Does a deck count toward lot coverage in MF-3?
b9144689,How much lot coverage is allowed on a MF-3 lot?
b9144689,What is the FAR limit in MF-3?
b9144689,Do covered porches count against lot coverage?
d697d4de,What is the setback in the MF-3 zone?
d697d4de,How close to the street can I build in MF-3?
d697d4de,What are the required yards for a house zoned MF-3?
d697d4de,Can my roof eaves stick into the required yard?
d697d4de,What's the yard requirement on a corner lot in MF-3?
aaeab367,What's the number of stories limit for buildings in GR?
aaeab367,How is building vertical limit measured in the GR district?
aaeab367,Can my chimney go above the how tall limit in GR?
aaeab367,What is the tallest structure allowed in GR?
aaeab367,Is there a way to build taller than the number of stories limit in GR?
1a28ad30,What's the maximum FAR in the GR district?
1a28ad30,Does a deck count toward FAR in GR?
1a28ad30,How much lot coverage is allowed on a GR lot?
1a28ad30,What is the FAR limit in GR?
1a28ad30,Do covered porches count against impervious cover?
225a4d69,What is the yard requirement in the GR zone?
225a4d69,How close to the street can I build in GR?
225a4d69,What are the required yards for a house zoned GR?
225a4d69,Can my roof eaves stick into the required yard?
225a4d69,What's the how far from the lot line on a corner lot in GR?
21554d32,What's the height limit for buildings in CS?
21554d32,How is building number of stories measured in the CS district?
21554d32,Can my chimney go above the number of stories limit in CS?
21554d32,What is the tallest structure allowed in CS?
21554d32,Is there a way to build taller than the number of stories limit in CS?
f92a92eb,What's the maximum lot coverage in the CS district?
f92a92eb,Does a deck count toward lot coverage in CS?
f92a92eb,How much lot coverage is allowed on a CS lot?
f92a92eb,What is the FAR limit in CS?
f92a92eb,Do covered porches count against lot coverage?
76998614,What is the setback in the CS zone?
76998614,How close to the street can I build in CS?
76998614,What are the required yards for a house zoned CS?
76998614,Can my roof eaves stick into the required yard?
76998614,What's the distance from the property line on a corner lot in CS?
90a26a01,What's the how tall limit for buildings in LO?
90a26a01,How is building height measured in the LO district?
90a26a01,Can my chimney go above the number of stories limit in LO?
90a26a01,What is the tallest structure allowed in LO?
90a26a01,Is there a way to build taller than the number of stories limit in LO?
8d68f618,What's the maximum impervious cover in the LO district?
8d68f618,Does a deck count toward how much of my lot I can build on in LO?
8d68f618,How much lot coverage is allowed on a LO lot?
8d68f618,What is the FAR limit in LO?
8d68f618,Do covered porches count against how much of my lot I can build on?
27ff969c,What is the yard requirement in the LO zone?
27ff969c,How close to the street can I build in LO?
27ff969c,What are the required yards for a house zoned LO?
27ff969c,Can my roof eaves stick into the required yard?
27ff969c,What's the setback on a corner lot in LO?
5b19ed4a,Can I build a guest house on my lot in the SF-1 district?
5b19ed4a,What are the size limits for a granny flat?
5b19ed4a,Do I need extra parking for a backyard cottage?
5b19ed4a,Where on my property can I put a secondary apartment?
5b19ed4a,How big can a ADU be and how tall?
eb4f6713,Can I build a ADU on my lot in the SF-1 district?
eb4f6713,What are the size limits for a backyard cottage?
eb4f6713,Do I need extra parking for a granny flat?
eb4f6713,Where on my property can I put a secondary apartment?
eb4f6713,How big can a granny flat be and how tall?
0cb50c05,Can I build a backyard cottage on my lot in the SF-1 district?
0cb50c05,What are the size limits for a backyard cottage?
0cb50c05,Do I need extra parking for a ADU?
0cb50c05,Where on my property can I put a backyard cottage?
0cb50c05,How big can a granny flat be and how tall?
7d7b65f7,Can I build a backyard cottage on my lot in the SF-1 district?
7d7b65f7,What are the size limits for a granny flat?
7d7b65f7,Do I need extra parking for a guest house?
7d7b65f7,Where on my property can I put a guest house?
7d7b65f7,How big can a secondary apartment be and how tall?
1de9c18e,Do I need a city sign-off to pour a foundation?
1de9c18e,What documents do I need for a residential building permit?
1de9c18e,What city sign-offs are required before pouring a foundation?
1de9c18e,How do I get a variance from a setback rule?
1de9c18e,What's the process to rezone my property?
c568d14d,Do I need a city sign-off to build a carport?
c568d14d,What documents do I need for a residential building approval?
c568d14d,What paperworks are required before pouring a foundation?
c568d14d,How do I get a variance from a setback rule?
c568d14d,What's the process to rezone my property?
bf4e3f45,Do I need a paperwork to remodel a kitchen?
bf4e3f45,What documents do I need for a residential building paperwork?
bf4e3f45,What paperworks are required before pouring a foundation?
bf4e3f45,How do I get a variance from a setback rule?
bf4e3f45,What's the process to rezone my property?
b859baf5,Do I need a paperwork to add a pool?
b859baf5,What documents do I need for a residential building permit?
b859baf5,What approvals are required before pouring a foundation?
b859baf5,How do I get a variance from a setback rule?
b859baf5,What's the process to rezone my property?
df8241e9,Do I need a city sign-off to build a carport?
df8241e9,What documents do I need for a residential building approval?
df8241e9,What paperworks are required before pouring a foundation?
df8241e9,How do I get a variance from a setback rule?
df8241e9,What's the process to rezone my property?
423e9c48,Do I need a permit to build a garage?
423e9c48,What documents do I need for a residential building permit?
423e9c48,What approvals are required before pouring a foundation?
423e9c48,How do I get a variance from a setback rule?
423e9c48,What's the process to rezone my property?
4ba9410a,What are the rules for building in a FEMA zone?
4ba9410a,My parcel is in FEMA zone AE — what does that mean for construction?
4ba9410a,How high does the finished floor need to be in the FEMA zone?
4ba9410a,Are there limits on building near a creek or waterway?
4ba9410a,Can I add fill to my lot in the flood risk area?
3d155755,What buffer is required between commercial and residential lots?
3d155755,Are there noise limits for a business next to houses?
3d155755,What are the compatibility rules near single-family zoning?
3d155755,How tall can a commercial building be next to homes?
3d155755,What screening is required next to a residential district?
a52738e8,What approvals do I need in a historic district?
a52738e8,Can I renovate the outside of a house in a historic overlay?
a52738e8,Do I need a Certificate of Appropriateness to remodel?
a52738e8,What are the rules for new construction in a historic overlay?
a52738e8,Does demolishing an old house need historic review?
3aabbcb3,Do I need a permit to cut down a big tree on my property?
3aabbcb3,What counts as a protected or heritage tree?
3aabbcb3,Can I remove a tree that's in the way of my addition?
3aabbcb3,What mitigation is required for tree removal?
3aabbcb3,What size tree requires a removal permit?
8d9ea18a,What are the rules for building in a flood zone?
8d9ea18a,My parcel is in FEMA zone AE — what does that mean for construction?
8d9ea18a,How high does the finished floor need to be in the flood risk area?
8d9ea18a,Are there limits on building near a creek or waterway?
8d9ea18a,Can I add fill to my lot in the flood zone?
f14f17c0,Can I run a business out of my home?
f14f17c0,Is a duplex allowed in the ALL district?
f14f17c0,What commercial uses are allowed in ALL?
f14f17c0,What happens if a nonconforming use stops for a while?
f14f17c0,How many units per acre are allowed in ALL?
1e877446,Can I run a business out of my home?
1e877446,Is a duplex allowed in the ALL district?
1e877446,What commercial uses are allowed in ALL?
1e877446,What happens if a nonconforming use stops for a while?
1e877446,How many units per acre are allowed in ALL?
d68ba9b9,What's the minimum lot size in the SF-1 district?
d68ba9b9,My lot is smaller than the minimum in SF-1 — can I still build?
d68ba9b9,What are the rules for small substandard lots?
d68ba9b9,How wide does a lot have to be to build a house?
d68ba9b9,Can I develop a lot platted before the current code?
a40275ce,Can I run a business out of my home?
a40275ce,Is a duplex allowed in the MF-1 district?
a40275ce,What commercial uses are allowed in MF-1?
a40275ce,What happens if a nonconforming use stops for a while?
a40275ce,How many units per acre are allowed in MF-1?
96b1f52e,Can I run a business out of my home?
96b1f52e,Is a duplex allowed in the GR district?
96b1f52e,What commercial uses are allowed in GR?
96b1f52e,What happens if a nonconforming use stops for a while?
96b1f52e,How many units per acre are allowed in GR?
1edf787a,How many parking spaces do I need for a duplex?
1edf787a,What are the off-street parking requirements?
1edf787a,Are parking minimums reduced near transit?
1edf787a,Can required parking be located off-site?
1edf787a,How much parking does a restaurant need?
b68762bd,What do I need to legally rent my house on Airbnb?
b68762bd,Can I use my ADU as a short-term rental?
b68762bd,Is there a cap on non-owner-occupied short-term rentals?
b68762bd,Do short-term rentals need a license?
b68762bd,What are the rules for renting for under 30 days?
85f2e628,How tall can my fence be in the front yard?
85f2e628,Do I need a permit for an 8 foot fence?
85f2e628,What are the fence height rules next to a commercial lot?
85f2e628,Can I build a 6 foot fence in my backyard?
85f2e628,What are the fence placement requirements?
0d63cacd,What signs can I put up in a residential neighborhood?
0d63cacd,Are billboards allowed in residential districts?
0d63cacd,Can I put a sign up for my home business?
0d63cacd,How big can a yard sign be?
0d63cacd,What are the sign rules for houses?
11377b07,What stormwater requirements apply if I add a big driveway?
11377b07,Do I need detention for new impervious cover?
11377b07,What are the runoff rules for new construction?
11377b07,When is a drainage plan required?
11377b07,How does the city regulate stormwater from my project?
1b0ec004,How can a project get extra height or FAR?
1b0ec004,What is the density bonus program?
1b0ec004,What affordable housing is required for a height bonus?
1b0ec004,Can I exceed the base height limit legally?
1b0ec004,What do I get for including affordable units?
